iter	Passed	Remaining
182	864	3859
183	868	3852
184	872	3845
185	877	3838
186	880	3827
187	883	3816
188	887	3809
189	891	3799
190	895	3793
191	902	3798
192	912	3813
193	916	3809
194	922	3806
195	928	3807
196	931	3798
197	935	3788
198	938	3777
199	946	3787
200	953	3788
201	957	3783
202	962	3777
203	967	3773
204	972	3770
205	975	3761
206	979	3751
207	982	3741
208	994	3763
209	1000	3763
210	1005	3759
211	1008	3749
212	1012	3740
213	1023	3757
214	1028	3755
215	1032	3747
216	1053	3801
217	1056	3791
218	1060	3780
219	1070	3795
220	1081	3811
221	1095	3838
222	1102	3841
223	1108	3839
224	1118	3851
225	1133	3882
226	1145	3902
227	1151	3897
228	1173	3950
229	1181	3955
230	1190	3962
231	1201	3976
232	1206	3971
233	1211	3965
234	1216	3960
235	1232	3989
236	1237	3985
237	1258	4028
238	1268	4037
239	1273	4031
240	1278	4026
241	1285	4025
242	1295	4035
243	1303	4039
244	1312	4044
245	1317	4038
246	1322	4030
247	1330	4033
248	1335	4027
249	1342	4028
250	1347	4019
251	1351	4011
252	1358	4010
253	1364	4007
254	1372	4008
255	1377	4002
256	1390	4021
257	1395	4012
258	1407	4027
259	1412	4019
260	1420	4021
261	1424	4012
262	1428	4003
263	1438	4010
264	1442	4000
265	1446	3992
266	1454	3993
267	1460	3988
268	1465	3981
269	1492	4034
270	1499	4034
271	1506	4031
272	1511	4024
273	1518	4022
274	1522	4014
275	1530	4015
276	1537	4013
277	1548	4020
278	1557	4023
279	1562	4018
280	1568	4012
281	1572	4004
282	1579	4001
283	1586	3998
284	1591	3993
285	1602	4000
286	1608	3995
287	1611	3984
288	1619	3985
289	1623	3973
290	1631	3974
291	1635	3965
292	1639	3956
293	1643	3945
294	1648	3940
295	1652	3930
296	1655	3919
297	1659	3909
298	1664	3902
299	1668	3892
300	1672	3883
301	1677	3877
302	1681	3867
303	1685	3859
304	1692	3856
305	1695	3846
306	1700	3838
307	1704	3829
308	1711	3827
309	1715	3818
310	1728	3829
311	1740	3837
312	1756	3855
313	1763	3853
314	1771	3851
315	1777	3847
316	1781	3837
317	1787	3832
318	1790	3823
319	1794	3812
320	1797	3802
321	1803	3798
322	1807	3789
323	1811	3778
324	1814	3768
325	1820	3764
326	1824	3754
327	1832	3753
328	1839	3752
329	1843	3742
330	1851	3742
331	1856	3735
332	1860	3725
333	1865	3720
334	1868	3709
335	1871	3699
336	1875	3690
337	1881	3684
338	1884	3674
339	1888	3665
340	1895	3662
341	1898	3652
342	1901	3642
343	1905	3632
344	1910	3628
345	1914	3618
346	1917	3609
347	1922	3602
348	1926	3593
349	1929	3583
350	1935	3577
351	1940	3572
352	1944	3564
353	1947	3554
354	1952	3547
355	1959	3545
356	1966	3542
357	1972	3536
358	1981	3538
359	2000	3555
360	2008	3555
361	2014	3550
362	2044	3587
363	2049	3581
364	2079	3617
365	2102	3641
366	2106	3633
367	2118	3637
368	2124	3632
369	2128	3623
370	2131	3614
371	2152	3633
372	2158	3627
373	2167	3627
374	2171	3619
375	2191	3637
376	2202	3640
377	2209	3636
378	2241	3672
379	2268	3700
380	2274	3694
381	2278	3686
382	2290	3690
383	2311	3708
384	2321	3709
385	2326	3701
386	2337	3702
387	2341	3692
388	2344	3682
389	2351	3677
390	2355	3668
391	2358	3658
392	2364	3651
393	2368	3642
394	2372	3634
395	2379	3630
396	2383	3619
397	2397	3626
398	2405	3623
399	2416	3624
400	2420	3615
401	2430	3615
402	2434	3606
403	2438	3597
404	2445	3593
405	2450	3584
406	2459	3584
407	2464	3575
408	2472	3572
409	2477	3565
410	2482	3557
411	2487	3550
412	2493	3543
413	2496	3533
414	2500	3524
415	2505	3517
416	2508	3507
417	2511	3497
418	2515	3487
419	2521	3481
420	2525	3473
421	2529	3464
422	2536	3459
423	2540	3451
424	2543	3441
425	2551	3438
426	2555	3428
427	2561	3423
428	2567	3417
429	2574	3412
430	2583	3411
431	2587	3402
432	2593	3396
433	2597	3387
434	2600	3378
435	2604	3369
436	2609	3361
437	2612	3352
438	2615	3342
439	2620	3335
440	2625	3328
441	2630	3320
442	2633	3311
443	2640	3305
444	2646	3300
445	2651	3293
446	2655	3285
447	2661	3278
448	2670	3276
449	2677	3272
450	2687	3271
451	2691	3263
452	2698	3258
453	2705	3253
454	2708	3244
455	2715	3239
456	2719	3230
457	2722	3221
458	2726	3213
459	2731	3207
460	2735	3198
461	2740	3191
462	2745	3184
463	2749	3175
464	2753	3168
465	2762	3166
466	2769	3161
467	2773	3153
468	2778	3145
469	2782	3137
470	2785	3128
471	2795	3127
472	2800	3120
473	2805	3112
474	2810	3106
475	2813	3097
476	2816	3088
477	2822	3081
478	2826	3073
479	2829	3065
480	2832	3056
481	2838	3050
482	2843	3043
483	2846	3034
484	2850	3027
485	2855	3020
486	2859	3011
487	2866	3007
488	2870	3000
489	2875	2992
490	2878	2984
491	2884	2978
492	2890	2972
493	2894	2965
494	2901	2960
495	2906	2953
496	2914	2949
497	2920	2943
498	2924	2936
499	2934	2934
500	2938	2926
501	2945	2922
502	2950	2914
503	2953	2906
504	2962	2903
505	2966	2896
506	2970	2888
507	2978	2884
508	2982	2877
509	2985	2868
510	2991	2862
511	2995	2854
512	2999	2847
513	3002	2839
514	3008	2832
515	3011	2825
516	3015	2817
517	3021	2811
518	3026	2805
519	3030	2797
520	3041	2796
521	3045	2789
522	3054	2785
523	3061	2781
524	3068	2776
525	3072	2768
526	3076	2761
527	3079	2752
528	3085	2747
529	3089	2739
530	3093	2731
531	3096	2724
532	3101	2717
533	3104	2709
534	3107	2700
535	3111	2693
536	3117	2688
537	3121	2680
538	3124	2672
539	3132	2668
540	3136	2661
541	3142	2655
542	3145	2647
543	3149	2639
544	3152	2631
545	3157	2625
546	3161	2618
547	3165	2611
548	3169	2603
549	3174	2597
550	3177	2589
551	3180	2581
552	3184	2574
553	3189	2567
554	3192	2559
555	3195	2551
556	3198	2544
557	3203	2537
558	3207	2530
559	3210	2522
560	3213	2515
561	3217	2507
562	3221	2500
563	3224	2492
564	3227	2484
565	3231	2477
566	3234	2470
567	3238	2462
568	3241	2455
569	3246	2449
570	3250	2442
571	3254	2434
572	3257	2427
573	3260	2420
574	3265	2413
575	3269	2406
576	3272	2398
577	3275	2391
578	3279	2384
579	3282	2377
580	3286	2370
581	3289	2362
582	3293	2356
583	3297	2348
584	3301	2341
585	3304	2334
586	3307	2327
587	3311	2320
588	3314	2312
589	3317	2305
590	3321	2298
591	3325	2291
592	3328	2284
593	3331	2277
594	3334	2269
595	3338	2263
596	3342	2256
597	3345	2248
598	3348	2241
599	3354	2236
600	3358	2229
601	3361	2222
602	3365	2215
603	3369	2208
604	3372	2201
605	3376	2195
606	3379	2188
607	3384	2181
608	3387	2175
609	3391	2168
610	3398	2163
611	3403	2157
612	3406	2150
613	3411	2144
614	3416	2138
615	3421	2132
616	3424	2125
617	3429	2119
618	3432	2112
619	3435	2105
620	3439	2099
621	3444	2093
622	3447	2086
623	3451	2079
624	3454	2072
625	3458	2066
626	3462	2059
627	3465	2052
628	3468	2046
629	3473	2040
630	3477	2033
631	3480	2026
632	3483	2019
633	3488	2013
634	3491	2007
635	3495	2000
636	3498	1993
637	3502	1987
638	3505	1980
639	3509	1974
640	3512	1967
641	3517	1961
642	3520	1954
643	3524	1948
644	3527	1941
645	3533	1936
646	3538	1930
647	3542	1924
648	3546	1918
649	3550	1912
650	3554	1905
651	3557	1898
652	3560	1892
653	3564	1885
654	3568	1879
655	3571	1872
656	3574	1866
657	3579	1860
658	3582	1853
659	3586	1847
660	3589	1841
661	3595	1835
662	3598	1829
663	3602	1822
664	3605	1816
665	3609	1810
666	3613	1804
667	3616	1797
668	3619	1790
669	3623	1784
670	3627	1778
671	3630	1772
672	3633	1765
673	3639	1760
674	3642	1753
675	3646	1747
676	3649	1741
677	3654	1735
678	3658	1729
679	3661	1723
680	3664	1716
681	3668	1710
682	3672	1704
683	3675	1698
684	3679	1691
685	3683	1686
686	3686	1679
687	3690	1673
688	3693	1667
689	3697	1661
690	3700	1654
691	3704	1648
692	3707	1642
693	3711	1636
694	3715	1630
695	3718	1624
696	3721	1617
697	3727	1612
698	3730	1606
699	3734	1600
700	3737	1594
701	3741	1588
702	3745	1582
703	3748	1576
704	3751	1569
705	3755	1564
706	3759	1558
707	3762	1551
708	3766	1545
709	3769	1539
710	3773	1533
711	3776	1527
712	3780	1521
713	3783	1515
714	3787	1509
715	3791	1503
716	3794	1497
717	3798	1491
718	3803	1486
719	3806	1480
720	3809	1474
721	3813	1468
722	3817	1462
723	3821	1456
724	3824	1450
725	3828	1444
726	3832	1439
727	3836	1433
728	3840	1427
729	3843	1421
730	3848	1416
731	3851	1410
732	3855	1404
733	3858	1398
734	3861	1392
735	3865	1386
736	3869	1380
737	3872	1374
738	3876	1369
739	3880	1363
740	3883	1357
741	3886	1351
742	3890	1345
743	3896	1340
744	3899	1334
745	3902	1328
746	3905	1322
747	3909	1317
748	3913	1311
749	3916	1305
750	3919	1299
751	3924	1294
752	3928	1288
753	3931	1282
754	3935	1277
755	3940	1271
756	3943	1265
757	3946	1260
758	3950	1254
759	3954	1248
760	3957	1242
761	3960	1237
762	3964	1231
763	3968	1225
764	3972	1220
765	3975	1214
766	3978	1208
767	3984	1203
768	3987	1197
769	3990	1192
770	3994	1186
771	3998	1180
772	4002	1175
773	4005	1169
774	4009	1163
775	4015	1159
776	4018	1153
777	4022	1147
778	4025	1142
779	4030	1136
780	4033	1130
781	4036	1125
782	4040	1119
783	4044	1114
784	4047	1108
785	4050	1102
786	4053	1097
787	4058	1091
788	4062	1086
789	4065	1080
790	4068	1075
791	4073	1069
792	4076	1064
793	4079	1058
794	4083	1052
795	4087	1047
796	4090	1041
797	4094	1036
798	4097	1030
799	4102	1025
800	4106	1020
801	4110	1014
802	4113	1009
803	4117	1003
804	4121	998
805	4124	992
806	4127	987
807	4131	981
808	4134	976
809	4138	970
810	4141	965
811	4145	959
812	4149	954
813	4153	949
814	4156	943
815	4160	938
816	4164	932
817	4167	927
818	4170	921
819	4174	916
820	4178	911
821	4182	905
822	4185	900
823	4188	894
824	4193	889
825	4196	884
826	4199	878
827	4203	873
828	4209	868
829	4212	862
830	4216	857
831	4219	852
832	4224	846
833	4227	841
834	4230	836
835	4233	830
836	4238	825
837	4241	820
838	4245	814
839	4248	809
840	4252	803
841	4255	798
842	4258	793
843	4261	787
844	4264	782
845	4268	777
846	4271	771
847	4274	766
848	4277	760
849	4281	755
850	4285	750
851	4289	745
852	4292	739
853	4297	734
854	4301	729
855	4305	724
856	4308	718
857	4311	713
858	4314	708
859	4317	702
860	4320	697
861	4323	692
862	4326	686
863	4330	681
864	4333	676
865	4335	670
866	4338	665
867	4342	660
868	4345	655
869	4348	649
870	4351	644
871	4354	639
872	4358	634
873	4361	628
874	4364	623
875	4367	618
876	4370	612
877	4374	607
878	4378	602
879	4380	597
880	4383	592
881	4386	586
882	4390	581
883	4393	576
884	4396	571
885	4401	566
886	4404	561
887	4408	555
888	4411	550
889	4414	545
890	4417	540
891	4421	535
892	4424	530
893	4427	524
894	4430	519
895	4434	514
896	4436	509
897	4439	504
898	4442	499
899	4445	493
900	4449	488
901	4452	483
902	4454	478
903	4457	473
904	4460	468
905	4465	463
906	4468	458
907	4470	452
908	4473	447
909	4479	443
910	4483	438
911	4486	432
912	4493	428
913	4497	423
914	4501	418
915	4504	413
916	4508	408
917	4511	403
918	4514	397
919	4516	392
920	4519	387
921	4524	382
922	4526	377
923	4529	372
924	4532	367
925	4534	362
926	4539	357
927	4542	352
928	4544	347
929	4547	342
930	4550	337
931	4553	332
932	4557	327
933	4560	322
934	4562	317
935	4565	312
936	4569	307
937	4573	302
938	4575	297
939	4579	292
940	4586	287
941	4588	282
942	4591	277
943	4594	272
944	4597	267
945	4602	262
946	4605	257
947	4607	252
948	4610	247
949	4615	242
950	4618	237
951	4621	232
952	4623	228
953	4626	223
954	4630	218
955	4633	213
956	4635	208
957	4638	203
958	4641	198
959	4645	193
960	4648	188
961	4651	183
962	4654	178
963	4658	173
964	4661	169
965	4664	164
966	4667	159
967	4670	154
968	4674	149
969	4677	144
970	4680	139
971	4684	134
972	4688	130
973	4692	125
974	4695	120
975	4698	115
976	4701	110
977	4705	105
978	4708	100
979	4711	96
980	4713	91
981	4717	86
982	4721	81
983	4723	76
984	4726	71
985	4729	67
986	4732	62
987	4736	57
988	4739	52
989	4742	47
990	4744	43
991	4750	38
992	4752	33
993	4755	28
994	4758	23
995	4761	19
996	4764	14
997	4768	9
998	4771	4
999	4776	0
